reactant_1,reactant_2,product,mechanism,pair,arithmetic_score_1,arithmetic_score_2,arithmetic_score_3,arithmetic_score_4,arithmetic_score_5,arithmetic_score_1_reaxys_idx,arithmetic_score_2_reaxys_idx,arithmetic_score_3_reaxys_idx,arithmetic_score_4_reaxys_idx,arithmetic_score_5_reaxys_idx,geometric_score_1,geometric_score_2,geometric_score_3,geometric_score_4,geometric_score_5,geometric_score_1_reaxys_idx,geometric_score_2_reaxys_idx,geometric_score_3_reaxys_idx,geometric_score_4_reaxys_idx,geometric_score_5_reaxys_idx,harmonic_score_1,harmonic_score_2,harmonic_score_3,harmonic_score_4,harmonic_score_5,harmonic_score_1_reaxys_idx,harmonic_score_2_reaxys_idx,harmonic_score_3_reaxys_idx,harmonic_score_4_reaxys_idx,harmonic_score_5_reaxys_idx
CCC(O)(CC)c1ccccc1O,O=C(O)c1cccc2c1oc1c(C(=O)O)cccc12,*Oc1ccccc1C(CC)(CC)OC(=O)c1cccc2c1oc1c(C(*)=O)cccc12,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.22772657450076805,0.22091886608015643,0.21881606765327696,0.21875,0.21875,138.0,310.0,146.0,717.0,716.0,0.22514716129596513,0.20973380699048355,0.21566554640687685,0.21650635094610965,0.21650635094610965,138.0,716.0,717.0,146.0,722.0,0.2225969646890991,0.19911504435765723,0.21256038657628884,0.21428571438775515,0.21428571438775515,138.0,716.0,717.0,146.0,731.0
CC(C)(C)OC(=O)NCCCC(C(=O)O)C(=O)O,Nc1ccccc1NC(=O)c1ccc(C(=O)Nc2ccccc2N)cc1,*Nc1ccccc1NC(=O)c1ccc(C(=O)Nc2ccccc2NC(=O)C(CCCNC(=O)OC(C)(C)C)C(*)=O)cc1,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.29891304347826086,0.26766304347826086,0.2334368530020704,0.2307312252964427,0.2305168170631665,44.0,46.0,27.0,28.0,45.0,0.29488391230979427,0.2553769592276246,0.2034892318891199,0.19881069312188604,0.19843522405566338,44.0,46.0,146.0,27.0,28.0,0.2909090910117686,0.24365482244399497,0.17738359214175053,0.17130620997586213,0.1708185054639759,44.0,46.0,146.0,19.0,338.0
CC(C)(C)c1ccccc1C(O)C(O)c1ccccc1C(C)(C)C,NC(=O)c1nc(C(N)=O)c(C(=O)O)cc1C(=O)O,*OC(c1ccccc1C(C)(C)C)C(OC(=O)c1cc(C(*)=O)c(C(N)=O)nc1C(N)=O)c1ccccc1C(C)(C)C,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.24623655913978493,0.24623655913978493,0.22688477951635846,0.2206896551724138,0.2206896551724138,717.0,716.0,44.0,731.0,724.0,0.24538755828982214,0.24538755828982214,0.22629428592141426,0.21971768720102058,0.21971768720102058,716.0,717.0,44.0,722.0,723.0,0.24454148481684562,0.24454148481684562,0.22570532925412487,0.21875000010087892,0.21875000010087892,716.0,717.0,44.0,724.0,722.0
Oc1cc(F)cc(O)c1C(F)(F)F,O=C(Cl)c1ccc2cc(C(=O)Cl)ccc2c1,*Oc1cc(F)cc(OC(=O)c2ccc3cc(C(*)=O)ccc3c2)c1C(F)(F)F,"{'step_growth': ['di_acid_chloride', 'di_ol']}",1,0.2671428571428571,0.260989010989011,0.260989010989011,0.260989010989011,0.260989010989011,175.0,724.0,728.0,722.0,723.0,0.26186146828319085,0.25677629550654774,0.25677629550654774,0.25677629550654774,0.25677629550654774,175.0,731.0,722.0,724.0,725.0,0.25668449208252453,0.25263157905057065,0.25263157905057065,0.25263157905057065,0.25263157905057065,175.0,729.0,723.0,730.0,727.0
CCOC(=O)c1cc(N)c(N)cc1Cl,O=C(O)CC(CC(=O)O)c1cc(F)cc(F)c1,*Nc1cc(C(=O)OCC)c(Cl)cc1NC(=O)CC(CC(*)=O)c1cc(F)cc(F)c1,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.24375,0.23035714285714284,0.22942073170731708,0.22465034965034966,0.21602787456445993,76.0,73.0,77.0,338.0,74.0,0.23385358667337133,0.22360679774997896,0.21384973069207538,0.21320071635561044,0.20447945297729908,76.0,73.0,77.0,338.0,74.0,0.22435897446692965,0.21705426367166636,0.19933554828587105,0.20233463046012812,0.19354838720718004,76.0,73.0,94.0,95.0,338.0
Oc1ccccc1C(=S)N1CCN(C(=S)c2ccccc2O)CC1,O=C=Nc1cccc2c(N=C=O)cccc12,*Oc1ccccc1C(=S)N1CCN(C(=S)c2ccccc2OC(=O)Nc2cccc3c(NC(*)=O)cccc23)CC1,"{'step_growth': ['di_isocyanate', 'di_ol']}",1,0.28329197684036395,0.24933687002652521,0.22796934865900384,0.22796934865900384,0.22281639928698754,759.0,303.0,197.0,196.0,439.0,0.26358852059334,0.23032671985243938,0.19574007317156783,0.19574007317156783,0.21110016546037452,759.0,303.0,439.0,173.0,481.0,0.24525547456598137,0.2127659575614758,0.16806722701703267,0.16806722701703267,0.20000000011024,759.0,303.0,173.0,439.0,57.0
O=C=Nc1ccccc1Cc1ccccc1N=C=O,OC(CCl)C(O)COc1cccc2ccccc12,*OC(COc1cccc2ccccc12)C(CCl)OC(=O)Nc1ccccc1Cc1ccccc1NC(*)=O,"{'step_growth': ['di_isocyanate', 'di_ol']}",1,0.29756097560975614,0.29756097560975614,0.2510204081632653,0.25,0.2493872549019608,196.0,197.0,303.0,198.0,759.0,0.2793721183078313,0.2793721183078313,0.20203050891044216,0.2,0.22687130324325755,196.0,197.0,439.0,194.0,759.0,0.26229508207906477,0.26229508207906477,0.1626016261514839,0.16000000013600002,0.2063882065054483,197.0,196.0,439.0,194.0,173.0
Nc1cc(Br)c(OCc2ccccc2)cc1N,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O,*Nc1cc(Br)c(OCc2ccccc2)cc1NC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(*)=O,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.25148809523809523,0.22596153846153846,0.21346153846153845,0.21062271062271062,0.1934782608695652,498.0,15.0,14.0,500.0,254.0,0.2439750182371333,0.16984155512168936,0.1640825308284734,0.20965696734438366,0.16151457061744964,498.0,500.0,499.0,538.0,146.0,0.23668639063843006,0.12765957461158894,0.12612612626704,0.208695652274828,0.13483146080446912,498.0,500.0,499.0,538.0,146.0
CC(O)c1ccc(Cl)cc1O,O=C(O)c1cccc2cccc(C(=O)O)c12,*Oc1cc(Cl)ccc1C(C)OC(=O)c1cccc2cccc(C(*)=O)c12,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.22364532019704433,0.22364532019704433,0.22072072072072071,0.21476833976833978,0.20983125458547322,717.0,716.0,144.0,310.0,493.0,0.21746411288782494,0.21746411288782494,0.1898315991504998,0.18641092980036003,0.20981073118415403,716.0,717.0,493.0,500.0,731.0,0.21145374459884336,0.21145374459884336,0.16326530624847982,0.16179775293365284,0.20979020989022934,716.0,717.0,493.0,500.0,722.0
O=C(O)c1cc2ccccc2cc1C(=O)O,CC1(C)OC(C(O)(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C(C(O)(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)O1,*OC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C1OC(C)(C)OC1C(OC(=O)c1cc2ccccc2cc1C(*)=O)(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.22855392156862747,0.22601744186046513,0.21008403361344535,0.21008403361344535,0.21008403361344535,543.0,303.0,731.0,724.0,723.0,0.1917412472118426,0.2088172673961392,0.21004201260420147,0.21004201260420147,0.21004201260420147,724.0,731.0,723.0,722.0,33.0,0.16085790897680427,0.19292604513071826,0.21000000010004,0.21000000010004,0.21000000010004,722.0,731.0,723.0,724.0,33.0
COc1ccc(C(CC(=O)O)C(=O)O)cc1C,Nc1c(N)c2ccccc2c2ccccc12,*Nc1c(NC(=O)CC(C(*)=O)c2ccc(OC)c(C)c2)c2ccccc2c2ccccc12,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.32588235294117646,0.27535377358490565,0.25598290598290596,0.25588235294117645,0.23365384615384616,254.0,390.0,173.0,595.0,716.0,0.3143620991973503,0.2225495492846311,0.21877670777129787,0.20291986247835694,0.22996655275194997,254.0,717.0,716.0,258.0,390.0,0.3032490975798694,0.17987152047728863,0.18697829728889329,0.160919540366997,0.22633744866280212,254.0,717.0,716.0,258.0,543.0
CCOC(=O)c1ccc(C(F)(F)F)c(N)c1N,O=C(Cl)CC(Cl)CC(=O)Cl,*Nc1c(C(=O)OCC)ccc(C(F)(F)F)c1NC(=O)CC(Cl)CC(*)=O,"{'step_growth': ['di_acid_chloride', 'di_amine']}",1,0.2188888888888889,0.2188888888888889,0.2188888888888889,0.2188888888888889,0.2142857142857143,25.0,77.0,76.0,17.0,23.0,0.21081851067789195,0.21081851067789195,0.21081851067789195,0.21081851067789195,0.21128856368212914,23.0,25.0,77.0,76.0,75.0,0.20304568538642587,0.20304568538642587,0.20304568538642587,0.20304568538642587,0.20833333343611113,75.0,23.0,25.0,77.0,76.0
CCOc1ccc(F)c(N)c1N,O=C(O)c1cc(Cl)c(Cl)cc1C(=O)O,*Nc1c(F)ccc(OCC)c1NC(=O)c1cc(Cl)c(Cl)cc1C(*)=O,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.22677737415672028,0.21608695652173915,0.1930171277997365,0.18974358974358974,0.17914438502673796,493.0,258.0,539.0,338.0,76.0,0.22666096841540642,0.206418738616856,0.19206937701335358,0.18946618668626838,0.17912443020795965,493.0,258.0,539.0,338.0,76.0,0.22654462252573193,0.1971830987002976,0.19112627996446088,0.18918918928948136,0.1791044777119626,493.0,258.0,539.0,338.0,76.0
O=C(O)C(CCc1ccccc1)C(=O)O,OC(c1n[nH]c(=S)n1-c1ccccc1)C(O)c1n[nH]c(=S)n1-c1ccccc1,*OC(c1n[nH]c(=S)n1-c1ccccc1)C(OC(=O)C(CCc1ccccc1)C(*)=O)c1n[nH]c(=S)n1-c1ccccc1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.31805019305019305,0.31805019305019305,0.2564102564102564,0.249375,0.249375,716.0,717.0,498.0,255.0,57.0,0.3091275554845371,0.3091275554845371,0.24019223070763068,0.24748737341529164,0.24748737341529164,717.0,716.0,156.0,154.0,57.0,0.300455235310388,0.300455235310388,0.22500000011225,0.24561403518922748,0.24561403518922748,716.0,717.0,296.0,255.0,154.0
Oc1cccc(C=Nc2ccc(Br)cc2)c1O,O=C(O)c1cc(Cl)c(Cl)cc1C(=O)O,*Oc1c(C=Nc2ccc(Br)cc2)cccc1OC(=O)c1cc(Cl)c(Cl)cc1C(*)=O,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.22494553376906318,0.22494553376906318,0.22173489278752434,0.21142857142857144,0.19817073170731708,149.0,33.0,310.0,258.0,303.0,0.22140372138502382,0.22140372138502382,0.21853668936906193,0.2,0.19127301391900148,33.0,149.0,310.0,258.0,303.0,0.21791767564791845,0.21791767564791845,0.21538461548747928,0.18918918929970782,0.18461538472222486,33.0,149.0,310.0,258.0,303.0
CCCCCCCCCCCCCC(=O)OCC(O)O,O=C(O)CN(CC(=O)O)C(=O)CSc1ccccc1,*OC(COC(=O)CCCCCCCCCCCCC)OC(=O)CN(CC(*)=O)C(=O)CSc1ccccc1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.26143790849673204,0.2421602787456446,0.2417800453514739,0.24055555555555555,0.23490338164251207,457.0,338.0,448.0,458.0,449.0,0.2416920203062951,0.2208630521496931,0.2102800206268535,0.20816659994661327,0.1981191755723524,457.0,338.0,76.0,77.0,453.0,0.22343750011453517,0.20143884903767922,0.18288393916304635,0.18013856825444585,0.16709511581010036,457.0,459.0,615.0,454.0,462.0
CC(C)(C)c1cc(N)c(N)c(Br)c1,O=C(O)c1cn[nH]c1C(=O)O,*Nc1cc(C(C)(C)C)cc(Br)c1NC(=O)c1cn[nH]c1C(*)=O,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.19241071428571427,731.0,724.0,723.0,722.0,33.0,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1889822365046136,724.0,731.0,722.0,723.0,33.0,0.1935483871967742,0.1935483871967742,0.1935483871967742,0.1935483871967742,0.18561484929146702,731.0,722.0,724.0,723.0,33.0
CC1(C(=O)O)CCC(C(=O)O)C1(C)C,Nc1c(Cl)ccc(Cl)c1N,*Nc1c(Cl)ccc(Cl)c1NC(=O)C1(C)CCC(C(*)=O)C1(C)C,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.25684210526315787,0.23838080959520241,0.2225705329153605,0.20159151193633953,0.1879432624113475,258.0,499.0,539.0,500.0,354.0,0.13764944032233706,0.22907152402348221,0.21684543705982773,0.1994687905625541,0.11909826683508273,499.0,539.0,500.0,498.0,538.0,0.07377049197455657,0.22012578627117996,0.21126760573888118,0.19736842115472647,0.07547169827305092,499.0,539.0,500.0,498.0,538.0
O=C(O)C(C(=O)O)C1c2ccccc2Sc2ccccc21,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(O)cc1O,*Oc1cc(OC(=O)C(C(*)=O)C2c3ccccc3Sc3ccccc32)ccc1C(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.2791666666666667,0.2791666666666667,0.237468671679198,0.23513513513513515,0.22162162162162163,716.0,717.0,637.0,493.0,175.0,0.27386127875258304,0.27386127875258304,0.23746784507298882,0.23249527748763857,0.22056438662814232,716.0,717.0,637.0,493.0,175.0,0.2686567165216752,0.2686567165216752,0.2374670185696577,0.22988505757349717,0.21951219522290305,716.0,717.0,637.0,493.0,175.0
O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(O)cc1O,O=C(O)C1(C(=O)O)CC(Cl)C1,*Oc1cc(OC(=O)C2(C(*)=O)CC(Cl)C2)ccc1C(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.20656370656370657,0.17916666666666667,0.17916666666666667,0.17767295597484278,0.17596944770857814,493.0,717.0,716.0,146.0,478.0,0.19649437297296482,0.17320508075688773,0.17320508075688773,0.17733172553297716,0.1626022231127917,493.0,146.0,717.0,716.0,323.0,0.18691588795997904,0.16744186057166036,0.16744186057166036,0.17699115054286163,0.15025041747688608,493.0,146.0,716.0,717.0,323.0
O=C(O)c1cc(Br)ccc1NC(=O)c1cc(Cl)c(Cl)cc1C(=O)O,Nc1cc(Br)cc(C(=O)O)c1N,*Nc1cc(Br)cc(C(=O)O)c1NC(=O)c1cc(Br)ccc1NC(=O)c1cc(Cl)c(Cl)cc1C(*)=O,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.28643617021276596,0.28643617021276596,0.28285714285714286,0.2572373862696443,0.2572373862696443,94.0,95.0,138.0,33.0,149.0,0.2862077804970041,0.2862077804970041,0.282842712474619,0.2572360564754364,0.2572360564754364,94.0,95.0,138.0,33.0,149.0,0.2859795729878103,0.2859795729878103,0.28282828292829304,0.25723472678810394,0.25723472678810394,95.0,94.0,138.0,33.0,149.0
CC(C)(C)CC(=O)N(CC(=O)O)CC(=O)O,Oc1ccc(C=Nc2ccc(Br)cc2)cc1O,*Oc1cc(C=Nc2ccc(Br)cc2)ccc1OC(=O)CN(CC(*)=O)C(=O)CC(C)(C)C,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.18035714285714285,0.17907801418439717,0.17907801418439717,0.17777777777777778,0.17393162393162392,32.0,95.0,94.0,77.0,75.0,0.14638501094227996,0.1786474002526241,0.1786474002526241,0.17638342073763938,0.17295817388759027,95.0,94.0,77.0,75.0,74.0,0.11881188132224292,0.17821782188265856,0.17821782188265856,0.1750000001015625,0.1719901720912882,94.0,95.0,77.0,75.0,74.0
CCOc1cc(O)c(O)cc1C(=O)OC,COc1ccc(CC(C)(C(=O)O)C(=O)O)cc1,*Oc1cc(C(=O)OC)c(OCC)cc1OC(=O)C(C)(Cc1ccc(OC)cc1)C(*)=O,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.26816860465116277,0.2637494021999044,0.2394957983193277,0.23725490196078433,0.23011363636363635,338.0,490.0,77.0,52.0,434.0,0.25574787730142756,0.23143657569637124,0.2381652558112334,0.23431167445160245,0.22613350843332272,338.0,77.0,52.0,490.0,74.0,0.24390243913343912,0.20308250238954753,0.23684210536426592,0.23140495878015163,0.22222222232565159,338.0,77.0,52.0,74.0,254.0
O=C(O)c1cc(NS(=O)(=O)c2ccc(Cl)cc2)cc(C(=O)O)c1,CC1(C)OC(C(O)(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C(C(O)(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)O1,*OC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)C1OC(C)(C)OC1C(OC(=O)c1cc(NS(=O)(=O)c2ccc(Cl)cc2)cc(C(*)=O)c1)(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.21405228758169934,0.19476744186046513,0.1939946018893387,0.19044117647058822,0.19044117647058822,477.0,303.0,310.0,722.0,723.0,0.2138963159732493,0.1867718419094071,0.18367958959266123,0.18981415059132414,0.18981415059132414,477.0,723.0,724.0,731.0,722.0,0.21374045811541284,0.17910447771998217,0.17391304358861248,0.1891891892898466,0.1891891892898466,477.0,731.0,724.0,723.0,722.0
Nc1cc(Cl)c(Br)cc1N,CC1=C(C)CC(C(=O)O)C(C(=O)O)C1,*Nc1cc(Cl)c(Br)cc1NC(=O)C1CC(C)=C(C)CC1C(*)=O,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.22238372093023256,0.1867816091954023,0.18010752688172044,0.17261904761904762,0.1625,258.0,499.0,500.0,539.0,354.0,0.1617491598051576,0.18569533817705186,0.1796053020267749,0.17251638983558856,0.13693063937629152,499.0,500.0,539.0,258.0,95.0,0.11764705897062669,0.18461538471654437,0.1791044777124972,0.1724137932035672,0.11538461551360946,499.0,500.0,539.0,95.0,94.0
O=C(O)Cc1ccc(Br)cc1C(=O)O,Cc1cc(N)c(N)cc1O,*Nc1cc(C)c(O)cc1NC(=O)Cc1ccc(Br)cc1C(*)=O,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.26520270270270274,0.26520270270270274,0.2288712422007941,0.2238095238095238,0.21666666666666667,94.0,95.0,138.0,33.0,149.0,0.22511258444537408,0.22511258444537408,0.19926125617709237,0.19518001458970663,0.18257418583505536,94.0,95.0,138.0,33.0,3.0,0.19108280267571912,0.19108280267571912,0.17348203234229273,0.1702127660813943,0.15384615397514795,3.0,94.0,95.0,637.0,723.0
